瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),1矫埃 弥促 碍荐樊 矫阿(hhmi),乞闭 浅加(m/s),乞闭 惑措嚼档(%),乞闭 泅瘤扁拘(hPa)
239,技辆,2019-05-31,,13.7,24.1,,,,
239,技辆,2019-06-01,17.4,10.8,23.5,,.9,69.9,999.9
239,技辆,2019-06-02,21,13.5,28,,1.1,53.5,997.1
239,技辆,2019-06-03,22.2,13.9,29.5,,.9,47,997.6
239,技辆,2019-06-04,23.1,16.3,30.9,,1.2,53.9,998.6
239,技辆,2019-06-05,22.7,16.6,30.2,,1.2,67.3,1001.2
239,技辆,2019-06-06,20.5,16.2,27.3,2131,1.1,78.8,998.9
239,技辆,2019-06-07,18.4,16.1,21.3,512,1.7,88.6,991.9
239,技辆,2019-06-08,20.8,15.5,27,,.8,72.9,997.5
239,技辆,2019-06-09,21.4,17.6,27.3,2200,1,72.3,994.8
239,技辆,2019-06-10,18.3,14.8,22.8,1,1.9,70.9,996.4
239,技辆,2019-06-11,20,16.4,25.5,,1.2,64.3,998.1
239,技辆,2019-06-12,20.4,14.2,27.2,,1.2,66.4,999.9
239,技辆,2019-06-13,22.5,15.3,29.9,,1.1,58.9,999.2
239,技辆,2019-06-14,21.1,17.7,25,,1,68.4,994.9
239,技辆,2019-06-15,20.9,15.6,26.6,,1.6,66,990.1
239,技辆,2019-06-16,20.6,14.9,27.2,,1,68.9,996.5
239,技辆,2019-06-17,21.2,16.9,26.6,,1.1,64,1001.5
239,技辆,2019-06-18,20.7,16.5,25.9,,.8,73.8,1000.3
239,技辆,2019-06-19,21.8,18.3,26.3,,.8,74.1,997.2
239,技辆,2019-06-20,22.6,17.8,28.2,,1.2,70,996.6
239,技辆,2019-06-21,22.8,19.5,28,,1.6,65.8,995.4
239,技辆,2019-06-22,23.1,18.8,29.6,,1.1,67.6,995.5
239,技辆,2019-06-23,23.7,17.9,29,,1.5,54.3,997.6
239,技辆,2019-06-24,23.5,17.8,30.1,,.9,58.4,1001.8
239,技辆,2019-06-25,24.9,17,32.2,,1,55.1,1003.7
239,技辆,2019-06-26,21.3,19.1,24,1311,1.3,76.3,998.1
239,技辆,2019-06-27,24.3,20.5,29.5,,.6,79.6,990.4
239,技辆,2019-06-28,24.3,21.3,29.2,,.9,73.5,991.5
239,技辆,2019-06-29,21.6,20.3,23.9,1345,1.1,92.1,987.8
239,技辆,2019-06-30,23.2,20.1,27.7,,.8,82.9,991
239,技辆,2019-07-01,23.2,19.4,26.8,,.8,75.3,995.4
239,技辆,2019-07-02,22.9,16.1,29.3,,.9,71.3,998.7
239,技辆,2019-07-03,23,18.3,28.3,,.9,77.4,997.7
239,技辆,2019-07-04,24.7,17.8,31.5,,1,64.9,996.2
239,技辆,2019-07-05,26.7,18.8,34.4,,1.2,54.9,992.7
239,技辆,2019-07-06,26.9,19.6,32.5,,2.2,50.5,993.9
239,技辆,2019-07-07,25.3,21.5,30,,2.8,53.4,996.8
239,技辆,2019-07-08,24.4,20,29.2,,2.1,56,996.8
239,技辆,2019-07-09,24.1,19.7,29.3,,2.5,56.8,996
239,技辆,2019-07-10,21.3,19.3,23.6,2219,2.3,78.5,995.8
239,技辆,2019-07-11,21.1,19.2,22.9,221,1.2,92.6,994.3
239,技辆,2019-07-12,23,19.3,27.5,,1,76.1,996.2
239,技辆,2019-07-13,23.3,19.7,28.3,,.8,79.9,991.8
239,技辆,2019-07-14,24.5,19.6,30,,.9,77.4,992.2
239,技辆,2019-07-15,23.4,19.4,27.9,2139,.9,85.8,996.8
239,技辆,2019-07-16,24.1,19.9,30.3,,1,81.1,1000.4
239,技辆,2019-07-17,25.4,21.4,29.5,,1,80.4,1000.7
239,技辆,2019-07-18,25,22.5,29,359,1,82.3,998.6
239,技辆,2019-07-19,26.5,23.3,29.2,,2,77.9,995.9
239,技辆,2019-07-20,25.4,23.4,28.4,1504,2.9,88,988.8
239,技辆,2019-07-21,24.7,21.8,28.4,202,1.3,91.4,992.5
239,技辆,2019-07-22,27.7,25,32.1,,1,78.4,996.1
239,技辆,2019-07-23,27.9,25.2,32.8,,.7,79.3,995
239,技辆,2019-07-24,26.7,24.9,29.7,2301,.7,83.3,994.3
239,技辆,2019-07-25,25.6,25,26.6,1545,.6,97.5,994.7
239,技辆,2019-07-26,26.4,25.5,28.5,1543,.9,92.8,993.9
239,技辆,2019-07-27,27.2,24.9,30.6,2020,.8,89.8,995.7
239,技辆,2019-07-28,26.3,24.8,28.4,1059,1,92.8,998.5
239,技辆,2019-07-29,28,24,32,,1.1,75.8,999.3
239,技辆,2019-07-30,28.5,25.9,32.7,,1.9,76,997.6
239,技辆,2019-07-31,28.4,26.4,32.5,,1.7,76,999.4
239,技辆,2019-08-01,28.4,25.2,33.2,,.9,79.1,1001.5
