사고일시,요일,시군구,요일_label,노면상태,노면상태_label,기상상태,도로형태,기상상태_label,도로형태_label,사상자합계
2022년 1월 2일 17시,일요일,세종특별자치시 조치원읍,0,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 1월 3일 07시,월요일,세종특별자치시 어진동,1,건조,0,맑음,단일로 - 기타,0,1,1
2022년 1월 3일 14시,월요일,세종특별자치시 아름동,1,건조,0,맑음,기타 - 기타,0,2,1
2022년 1월 5일 21시,수요일,세종특별자치시 한솔동,2,건조,0,맑음,단일로 - 기타,0,1,1
2022년 1월 5일 22시,수요일,세종특별자치시 조치원읍,2,건조,0,맑음,단일로 - 기타,0,1,1
2022년 1월 6일 08시,목요일,세종특별자치시 새롬동,3,건조,0,맑음,기타 - 기타,0,2,1
2022년 1월 7일 20시,금요일,세종특별자치시 소담동,4,건조,0,맑음,단일로 - 기타,0,1,1
2022년 1월 7일 20시,금요일,세종특별자치시 고운동,4,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 1월 9일 09시,일요일,세종특별자치시 연동면,0,건조,0,맑음,단일로 - 고가도로위,0,3,1
2022년 1월 9일 18시,일요일,세종특별자치시 조치원읍,0,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 1월 10일 21시,월요일,세종특별자치시 어진동,1,건조,0,맑음,교차로 - 교차로부근,0,4,2
2022년 1월 11일 18시,화요일,세종특별자치시 다정동,5,건조,0,맑음,교차로 - 교차로안,0,0,2
2022년 1월 12일 19시,수요일,세종특별자치시 집현동,2,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 1월 13일 08시,목요일,세종특별자치시 어진동,3,건조,0,맑음,단일로 - 기타,0,1,1
2022년 1월 13일 18시,목요일,세종특별자치시 다정동,3,건조,0,맑음,단일로 - 기타,0,1,2
2022년 1월 13일 19시,목요일,세종특별자치시 나성동,3,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 1월 13일 22시,목요일,세종특별자치시 소담동,3,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 1월 14일 11시,금요일,세종특별자치시 조치원읍,4,건조,0,맑음,주차장 - 주차장,0,5,1
2022년 1월 14일 12시,금요일,세종특별자치시 연기면,4,건조,0,맑음,기타 - 기타,0,2,1
2022년 1월 14일 12시,금요일,세종특별자치시 다정동,4,건조,0,맑음,기타 - 기타,0,2,1
2022년 1월 14일 16시,금요일,세종특별자치시 집현동,4,건조,0,맑음,기타 - 기타,0,2,1
