,일시,count,사고번호,사망자수,중상자수,경상자수,부상신고자수,사상자합계
264,2022-01-02,1,2022010200100246,0,1,0,0,0.1168
248,2022-01-03,2,4044020600200399,0,0,2,0,0.0136
172,2022-01-05,2,4044021000200901,0,0,2,0,0.0136
286,2022-01-06,1,2022010600100104,0,1,0,0,0.1168
169,2022-01-07,2,4044021400201103,0,0,1,1,0.0101
162,2022-01-09,2,4044021800200295,0,1,1,0,0.1236
287,2022-01-10,1,2022011000100528,0,2,0,0,0.2336
288,2022-01-11,1,2022011100100445,0,0,2,0,0.0136
289,2022-01-12,1,2022011200100485,0,1,0,0,0.1168
75,2022-01-13,4,8088045200401576,0,2,2,1,0.2505
15,2022-01-14,7,14154079800702744,0,3,5,0,0.3844
290,2022-01-15,1,2022011500100117,0,1,0,0,0.1168
291,2022-01-17,1,2022011700100491,0,0,1,0,0.0068
181,2022-01-18,2,4044023600200246,0,0,2,0,0.0136
189,2022-01-19,2,4044023800200938,0,2,3,0,0.254
157,2022-01-20,3,6066036000301434,0,1,3,0,0.1372
285,2022-01-22,1,2022012200100122,0,0,1,0,0.0068
292,2022-01-23,1,2022012300100285,0,0,1,0,0.0068
125,2022-01-26,3,6066037800301092,0,2,1,0,0.2404
294,2022-01-27,1,2022012700100182,0,1,0,0,0.1168
127,2022-01-28,3,6066038400300789,0,0,5,0,0.033999999999999996
183,2022-01-29,2,4044025800200408,0,1,1,0,0.1236
295,2022-01-30,1,2022013000100298,0,0,0,1,0.0033
296,2022-01-31,1,2022013100100094,0,0,1,0,0.0068
186,2022-02-01,2,4044040200200156,1,0,1,0,1.0068
297,2022-02-03,1,2022020300100412,0,0,1,0,0.0068
124,2022-02-04,3,6066061200301146,0,0,1,4,0.019999999999999997
298,2022-02-06,1,2022020600100206,0,0,1,0,0.0068
299,2022-02-07,1,2022020700100179,0,0,0,1,0.0033
293,2022-02-08,1,2022020800100488,0,0,2,0,0.0136
196,2022-02-09,2,4044041800200363,0,1,2,0,0.1304
284,2022-02-10,1,2022021000100411,0,0,1,0,0.0068
170,2022-02-11,2,4044042200200863,0,0,2,0,0.0136
283,2022-02-12,1,2022021200100413,0,0,1,6,0.0266
139,2022-02-13,3,6066063900300731,0,0,5,0,0.033999999999999996
81,2022-02-14,4,8088085600401097,0,1,7,0,0.1644
166,2022-02-15,2,4044043000200531,0,2,1,0,0.2404
144,2022-02-16,3,6066064800300641,0,0,3,0,0.020399999999999998
282,2022-02-17,1,2022021700100394,0,0,1,0,0.0068
178,2022-02-18,2,4044043600200483,0,0,1,1,0.0101
267,2022-02-19,1,2022021900100035,0,0,1,0,0.0068
171,2022-02-20,2,4044044000200343,0,0,3,0,0.020399999999999998
268,2022-02-21,1,2022022100100461,0,0,1,0,0.0068
147,2022-02-22,3,6066066600301354,0,0,4,0,0.0272
269,2022-02-23,1,2022022300100171,0,0,1,0,0.0068
173,2022-02-24,2,4044044800200671,0,1,1,0,0.1236
270,2022-02-25,1,2022022500100162,0,0,1,0,0.0068
271,2022-02-26,1,2022022600100121,0,0,1,0,0.0068
272,2022-02-27,1,2022022700100157,0,0,0,1,0.0033
273,2022-02-28,1,2022022800100228,0,1,0,0,0.1168
274,2022-03-01,1,2022030100100309,0,0,1,0,0.0068
150,2022-03-02,3,6066090600301274,0,0,3,2,0.027
275,2022-03-03,1,2022030300100310,0,1,0,1,0.1201
46,2022-03-04,5,10110152000501436,0,3,3,1,0.3741
276,2022-03-05,1,2022030500100310,0,0,4,0,0.0272
277,2022-03-06,1,2022030600100151,0,0,1,0,0.0068
278,2022-03-07,1,2022030700100392,0,0,1,0,0.0068
146,2022-03-08,3,6066092400300952,0,0,3,0,0.020399999999999998
231,2022-03-09,2,4044061800200452,0,0,1,1,0.0101
279,2022-03-10,1,2022031000100213,0,0,1,0,0.0068
232,2022-03-11,2,4044062200200429,0,0,1,4,0.02
280,2022-03-13,1,2022031300100098,0,0,0,1,0.0033
233,2022-03-14,2,4044062800200486,0,0,1,1,0.0101
88,2022-03-15,4,8088126000400945,0,3,3,0,0.37079999999999996
143,2022-03-16,3,6066094800300608,0,0,3,0,0.020399999999999998
142,2022-03-17,3,6066095100300531,0,0,4,1,0.0305
281,2022-03-18,1,2022031800100065,0,1,0,1,0.1201
300,2022-03-20,1,2022032000100135,0,0,0,3,0.009899999999999999
91,2022-03-21,4,8088128400401297,0,0,5,0,0.033999999999999996
301,2022-03-22,1,2022032200100348,0,0,1,0,0.0068
138,2022-03-23,3,6066096900300782,0,1,0,2,0.1234
137,2022-03-24,3,6066097200300764,0,1,1,1,0.1269
230,2022-03-25,2,4044065000200269,0,0,6,0,0.040799999999999996
245,2022-03-26,2,4044065200200472,0,0,1,1,0.0101
136,2022-03-27,3,6066098100300791,0,1,2,0,0.1304
135,2022-03-28,3,6066098400300719,0,0,1,4,0.02
52,2022-03-29,4,8088131600401221,0,2,2,0,0.2472
302,2022-03-30,1,2022033000100435,0,0,1,0,0.0068
320,2022-03-31,1,2022033100100101,0,0,1,0,0.0068
131,2022-04-01,3,6066120300300951,0,2,2,1,0.2505
227,2022-04-02,2,4044080400200335,0,1,2,1,0.13369999999999999
205,2022-04-04,2,4044080800200694,0,0,1,1,0.0101
206,2022-04-05,2,4044081000200080,0,0,3,0,0.020399999999999998
322,2022-04-06,1,2022040600100228,0,0,1,0,0.0068
129,2022-04-07,3,6066122100301199,1,4,4,1,1.4977
54,2022-04-08,4,8088163200401195,0,0,3,1,0.0237
207,2022-04-09,2,4044081800200957,0,0,4,0,0.0272
128,2022-04-10,3,6066123000300646,0,0,0,5,0.0165
323,2022-04-11,1,2022041100100253,0,0,1,0,0.0068
126,2022-04-12,3,6066123600300827,0,2,3,0,0.254
13,2022-04-13,7,14154289100701637,0,1,6,8,0.184
8,2022-04-14,7,14154289800701634,1,3,3,1,1.3741
324,2022-04-15,1,2022041500100118,0,0,1,1,0.0101
325,2022-04-16,1,2022041600100198,0,0,0,3,0.009899999999999999
149,2022-04-17,3,6066125100300499,0,0,4,0,0.0272
210,2022-04-18,2,4044083600200457,0,0,2,0,0.0136
58,2022-04-19,4,8088167600401196,0,1,7,3,0.17429999999999998
24,2022-04-20,5,10110210000502052,1,2,2,2,1.2538
326,2022-04-21,1,2022042100100493,0,0,1,0,0.0068
213,2022-04-22,2,4044084400200911,0,0,2,0,0.0136
158,2022-04-23,3,6066126900300656,0,2,2,2,0.2538
214,2022-04-24,2,4044084800200288,0,0,3,0,0.020399999999999998
216,2022-04-25,2,4044085000200396,0,0,2,0,0.0136
153,2022-04-26,3,6066127800300650,0,0,2,3,0.0235
32,2022-04-27,5,10110213500501634,0,0,4,2,0.0338
219,2022-04-28,2,4044085600200519,1,0,0,1,1.0033
327,2022-04-29,1,2022042900100226,0,1,0,0,0.1168
321,2022-04-30,1,2022043000100168,0,0,2,1,0.0169
220,2022-05-01,2,4044100200200697,0,0,0,4,0.0132
152,2022-05-02,3,6066150600300536,0,1,2,0,0.1304
44,2022-05-03,5,10110251500501313,0,0,8,0,0.0544
64,2022-05-04,4,8088201600402629,0,1,2,1,0.1337
