,일시,count,사고번호,사망자수,중상자수,경상자수,부상신고자수,사상자합계,평균기온(°C),최저기온(°C),최고기온(°C),1시간 최다강수량(mm),평균 풍속(m/s),평균 증기압(hPa),평균 현지기압(hPa),일 최심적설(cm)
337,2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.1,-10.7,0.7,0.0,0.5,2.2,1019.7,0.0
0,2022-01-02,1.0,2022010200100246.0,0.0,1.0,0.0,0.0,0.1168,-1.4,-8.0,6.3,0.0,1.0,3.3,1015.6,0.0
1,2022-01-03,2.0,4044020600200399.0,0.0,0.0,2.0,0.0,0.0136,-2.1,-8.0,3.5,0.0,0.7,3.3,1015.2,0.0
338,2022-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-4.7,4.5,0.0,1.5,2.7,1016.5,0.0
2,2022-01-05,2.0,4044021000200901.0,0.0,0.0,2.0,0.0,0.0136,-2.6,-7.0,1.5,0.0,0.5,2.6,1016.0,0.0
3,2022-01-06,1.0,2022010600100104.0,0.0,1.0,0.0,0.0,0.1168,-1.2,-6.7,5.0,0.0,0.9,2.6,1017.5,0.0
4,2022-01-07,2.0,4044021400201103.0,0.0,0.0,1.0,1.0,0.0101,-2.0,-7.8,5.2,0.0,0.4,2.7,1018.4,0.0
339,2022-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-7.3,7.1,0.0,0.7,3.7,1013.8,0.0
5,2022-01-09,2.0,4044021800200295.0,0.0,1.0,1.0,0.0,0.1236,1.8,-2.0,6.3,0.0,1.0,4.4,1011.2,0.0
6,2022-01-10,1.0,2022011000100528.0,0.0,2.0,0.0,0.0,0.2336,0.1,-4.9,5.8,0.0,0.7,4.0,1009.5,0.0
7,2022-01-11,1.0,2022011100100445.0,0.0,0.0,2.0,0.0,0.0136,-4.5,-7.4,-0.4,0.0,2.8,2.3,1009.4,0.0
8,2022-01-12,1.0,2022011200100485.0,0.0,1.0,0.0,0.0,0.1168,-5.8,-11.5,0.2,0.0,1.3,1.9,1011.7,0.0
9,2022-01-13,4.0,8088045200401576.0,0.0,2.0,2.0,1.0,0.2505,-4.9,-7.7,-1.0,0.0,2.3,2.2,1010.8,0.0
10,2022-01-14,7.0,1.4154079800702744e+16,0.0,3.0,5.0,0.0,0.3844,-4.5,-10.7,2.4,0.0,0.7,1.9,1014.6,0.0
11,2022-01-15,1.0,2022011500100117.0,0.0,1.0,0.0,0.0,0.1168,-0.1,-6.6,5.5,0.0,0.7,2.7,1012.0,0.0
340,2022-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-5.1,2.9,0.0,1.9,3.2,1014.0,0.0
12,2022-01-17,1.0,2022011700100491.0,0.0,0.0,1.0,0.0,0.0068,-3.5,-8.0,1.9,0.0,1.7,2.8,1016.2,0.0
13,2022-01-18,2.0,4044023600200246.0,0.0,0.0,2.0,0.0,0.0136,-4.5,-10.1,1.6,0.0,1.1,1.7,1017.2,0.0
14,2022-01-19,2.0,4044023800200938.0,0.0,2.0,3.0,0.0,0.254,-3.9,-9.5,2.1,0.0,1.2,3.0,1013.6,0.0
15,2022-01-20,3.0,6066036000301434.0,0.0,1.0,3.0,0.0,0.1372,-4.4,-10.7,2.1,0.0,0.9,2.4,1017.3,0.0
341,2022-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-9.4,5.2,0.0,0.5,2.5,1018.7,0.0
16,2022-01-22,1.0,2022012200100122.0,0.0,0.0,1.0,0.0,0.0068,2.5,-3.5,8.8,0.0,0.5,3.5,1014.7,0.0
17,2022-01-23,1.0,2022012300100285.0,0.0,0.0,1.0,0.0,0.0068,3.9,-0.2,9.6,0.0,0.8,3.9,1010.4,0.0
342,2022-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,-2.1,8.7,0.0,1.6,4.2,1010.5,0.0
343,2022-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-0.3,4.8,0.0,0.9,6.1,1010.4,0.0
18,2022-01-26,3.0,6066037800301092.0,0.0,2.0,1.0,0.0,0.2404,2.0,-1.5,6.7,0.0,1.1,4.4,1013.5,0.0
19,2022-01-27,1.0,2022012700100182.0,0.0,1.0,0.0,0.0,0.1168,-0.2,-3.9,6.0,0.0,0.9,3.0,1013.8,0.0
20,2022-01-28,3.0,6066038400300789.0,0.0,0.0,5.0,0.0,0.033999999999999996,-1.2,-5.3,4.4,0.0,1.2,2.7,1013.5,0.0
21,2022-01-29,2.0,4044025800200408.0,0.0,1.0,1.0,0.0,0.1236,-2.5,-6.0,2.9,0.0,1.5,2.3,1011.2,0.0
22,2022-01-30,1.0,2022013000100298.0,0.0,0.0,0.0,1.0,0.0033,-2.7,-8.2,3.6,0.0,1.1,2.2,1011.1,0.0
23,2022-01-31,1.0,2022013100100094.0,0.0,0.0,1.0,0.0,0.0068,-1.1,-9.1,6.0,0.0,0.9,3.2,1013.1,0.0
