瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),1矫埃 弥促碍荐樊(mm),乞闭 浅加(m/s),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),老 弥缴利汲(cm)
239,技辆,2022-01-01,-5.1,-10.7,0.7,,0.5,2.2,1019.7,
239,技辆,2022-01-02,-1.4,-8,6.3,,1,3.3,1015.6,
239,技辆,2022-01-03,-2.1,-8,3.5,,0.7,3.3,1015.2,
239,技辆,2022-01-04,-0.4,-4.7,4.5,,1.5,2.7,1016.5,
239,技辆,2022-01-05,-2.6,-7,1.5,,0.5,2.6,1016,
239,技辆,2022-01-06,-1.2,-6.7,5,,0.9,2.6,1017.5,
239,技辆,2022-01-07,-2,-7.8,5.2,,0.4,2.7,1018.4,
239,技辆,2022-01-08,0.3,-7.3,7.1,,0.7,3.7,1013.8,
239,技辆,2022-01-09,1.8,-2,6.3,,1,4.4,1011.2,
239,技辆,2022-01-10,0.1,-4.9,5.8,,0.7,4,1009.5,
239,技辆,2022-01-11,-4.5,-7.4,-0.4,,2.8,2.3,1009.4,
239,技辆,2022-01-12,-5.8,-11.5,0.2,,1.3,1.9,1011.7,
239,技辆,2022-01-13,-4.9,-7.7,-1,,2.3,2.2,1010.8,
239,技辆,2022-01-14,-4.5,-10.7,2.4,,0.7,1.9,1014.6,
239,技辆,2022-01-15,-0.1,-6.6,5.5,,0.7,2.7,1012,
239,技辆,2022-01-16,-0.3,-5.1,2.9,,1.9,3.2,1014,
239,技辆,2022-01-17,-3.5,-8,1.9,,1.7,2.8,1016.2,
239,技辆,2022-01-18,-4.5,-10.1,1.6,,1.1,1.7,1017.2,
239,技辆,2022-01-19,-3.9,-9.5,2.1,,1.2,3,1013.6,
239,技辆,2022-01-20,-4.4,-10.7,2.1,,0.9,2.4,1017.3,
239,技辆,2022-01-21,-2.5,-9.4,5.2,,0.5,2.5,1018.7,
239,技辆,2022-01-22,2.5,-3.5,8.8,,0.5,3.5,1014.7,
239,技辆,2022-01-23,3.9,-0.2,9.6,,0.8,3.9,1010.4,
239,技辆,2022-01-24,3.8,-2.1,8.7,,1.6,4.2,1010.5,
239,技辆,2022-01-25,2.5,-0.3,4.8,,0.9,6.1,1010.4,
239,技辆,2022-01-26,2,-1.5,6.7,,1.1,4.4,1013.5,
239,技辆,2022-01-27,-0.2,-3.9,6,,0.9,3,1013.8,
239,技辆,2022-01-28,-1.2,-5.3,4.4,,1.2,2.7,1013.5,
239,技辆,2022-01-29,-2.5,-6,2.9,,1.5,2.3,1011.2,
239,技辆,2022-01-30,-2.7,-8.2,3.6,,1.1,2.2,1011.1,
239,技辆,2022-01-31,-1.1,-9.1,6,,0.9,3.2,1013.1,
239,技辆,2022-02-01,0,-2.1,2.9,,1.4,4,1014.6,
239,技辆,2022-02-02,-0.9,-3.5,2.7,,1.5,2.6,1017,
239,技辆,2022-02-03,-2.3,-5.9,2.7,,1.8,2.3,1015.9,
239,技辆,2022-02-04,-3.1,-6.4,1.7,,1.8,2.6,1014,
239,技辆,2022-02-05,-4.9,-8.9,-0.2,,1.8,2.4,1015.4,
239,技辆,2022-02-06,-3.1,-9.6,2.9,,1.4,2.7,1017,
239,技辆,2022-02-07,-2.2,-8.2,2.3,,1.3,2.3,1017.2,
239,技辆,2022-02-08,-0.5,-6.1,6.4,,1.1,2.7,1016.4,
239,技辆,2022-02-09,0.9,-6.3,7.7,,0.7,2.6,1014.1,
239,技辆,2022-02-10,2.2,-1.8,8.2,,1.3,2.7,1012.2,
239,技辆,2022-02-11,2.2,-4.7,10,,1,3.1,1015.1,
239,技辆,2022-02-12,4.1,-1.9,11.2,,0.8,3.5,1013.5,
239,技辆,2022-02-13,4.5,-0.4,10.6,,0.7,4,1010.4,
239,技辆,2022-02-14,3.5,-2.2,11.3,,1.5,4.2,1009.4,
239,技辆,2022-02-15,-3.1,-6.5,0,,2.3,2.9,1011.1,
239,技辆,2022-02-16,-5.9,-8.7,-2.1,,2.4,2.2,1012.7,
239,技辆,2022-02-17,-5.8,-10.4,-1.1,,1.5,1.7,1017,
239,技辆,2022-02-18,-1.5,-10.2,6.4,,0.8,1.9,1018.3,
239,技辆,2022-02-19,-0.3,-4.2,3.8,,1.8,2.7,1012.7,
239,技辆,2022-02-20,-3.9,-6.7,0.1,,2.8,1.9,1015.5,
239,技辆,2022-02-21,-1.6,-8.8,5,,1.5,2.8,1017.3,
239,技辆,2022-02-22,-2.9,-5.8,2,,2.2,2.2,1020.8,
239,技辆,2022-02-23,-4.7,-10.1,1.2,,2,1.5,1021.7,
239,技辆,2022-02-24,-2.3,-10.2,4.8,,1.3,2.2,1019.8,
