도로명,Latitude,Longitude,사망자수,중상자수,경상자수,부상자수,사상자환산계수,사상자수,도로위험도,도로위험지수
가락마을6단지 602동 맞은편,36.502925,127.2389977,0,5,11,0,0.6588,16,2.7452,27.452
내평지하차도 사거리,35.8835783,128.8705023,0,3,12,0,0.432,15,2.38,23.8
다빛초등학교 삼거리 (종촌동 585-6 ),36.5034388,127.2473306,0,7,27,0,1.0012,34,1.9876,19.876
대평동 264-30번지 사거리,35.4397302,126.8174379,0,5,11,1,0.6621,17,0.8265,8.265
번암사거리(번암리 161-1),36.5826838,127.2929465,0,2,11,0,0.3084,13,0.5,5
상리사거리(조천교 서단),36.6034013,127.3056006,0,1,13,0,0.2052,14,0.2868,2.868
새뜸마을 1011동 앞 로타리,36.490621,127.250007,0,3,7,1,0.4013,11,0.4829,4.829
성남중 앞 사거리,37.5044818,126.9274115,0,4,6,0,0.508,10,0.5352,5.352
성남중학교 네거리(어진동 222-33),36.4979376,127.2549771,0,5,10,3,0.6619,18,0.6786,6.786
세종세경아파트 앞 사거리,36.505182,127.24515,1,5,8,0,1.6384,14,1.7756,17.756
세종특별자치시 세종시 도담동 400 파란달교차로,36.5249367,127.2612704,0,6,4,0,0.728,10,1.0852,10.852
세종특별자치시 세종시 보듬4로 20 도램마을8단지 앞 비알티도로,36.5118754,127.2613612,1,6,11,2,1.7822,20,4.2074,42.074
세종특별자치시 세종시 보람동 664-70 해들마을6단지 앞 사거리,36.4793066,127.2845332,0,2,8,0,0.288,10,0.3152,3.152
세종특별자치시 세종시 소담동 9-9 새샘교차로,36.4887982,127.2997438,0,7,10,0,0.8856,17,1.1736,11.736
세종특별자치시 세종시 연기면 세종리 114-88 호수공원 교차로,36.5037308,127.2782956,0,3,7,0,0.398,10,0.686,6.86
세종특별자치시 세종시 한누리대로 219 국세청 앞 삼거리,36.4842135,127.2589741,0,2,6,0,0.2744,8,0.288,2.88
세종특별자치시 세종시 한누리대로 499 성금교차로,36.5080986,127.2611091,0,3,10,0,0.4184,13,0.432,4.32
세종플란트치과 앞 사거리,36.48033,127.261338,0,8,14,0,1.0296,22,2.1,21
소담교차로,36.486334,127.301231,0,5,11,0,0.6588,16,0.7132,7.132
신흥사거리(주공2단지앞),37.4665132,126.6348947,0,8,8,0,0.9888,16,1.0296,10.296
쌍국교 앞 사거리,36.572655,127.276196,0,4,9,0,0.5284,13,1.2416,12.416
역천교차로(조치원역앞),36.591548,127.2990211,0,3,5,0,0.3844,8,0.3844,3.844
연화휴먼시아 78단지 앞,36.785266,127.090596,0,4,8,0,0.5216,12,0.6724,6.724
욱일아파트 앞 사거리(113동),35.4324363,126.817857,0,4,4,0,0.4944,8,0.508,5.08
지엘플렉스1 새샘6단지 후문 앞 교차로,37.3879773,127.1232627,0,4,8,0,0.5216,12,0.906,9.06
학성공원 앞 삼거리,35.5557372,129.3367455,0,5,5,0,0.618,10,0.7552,7.552
현대아파트 부근 사거리(북쪽),36.603888,127.297565,0,8,7,0,0.982,15,1.7372,17.372
현대자동차 세종청사지점 앞 교차로,36.490848,127.2568349,0,6,15,0,0.8028,21,1.0908,10.908
