사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,사상자합계
2022010200100246,2022년 1월 2일 17시,일요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,74세,상해없음,보행자,남,58세,중상,0.1168
2022010300100081,2022년 1월 3일 07시,월요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,69세,상해없음,승용,여,26세,경상,0.0068
2022010300100318,2022년 1월 3일 14시,월요일,세종특별자치시 아름동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승합,남,43세,상해없음,보행자,여,55세,경상,0.0068
2022010500100442,2022년 1월 5일 21시,수요일,세종특별자치시 한솔동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승합,남,59세,상해없음,0.0068
2022010500100459,2022년 1월 5일 22시,수요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,보행자,여,81세,경상,0.0068
2022010600100104,2022년 1월 6일 08시,목요일,세종특별자치시 새롬동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,28세,상해없음,자전거,남,31세,중상,0.1168
2022010700100551,2022년 1월 7일 20시,금요일,세종특별자치시 소담동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,원동기,남,19세,경상,0.0068
2022010700100552,2022년 1월 7일 20시,금요일,세종특별자치시 고운동,부상신고사고,0,0,0,1,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,보행자,여,29세,부상신고,0.0033
2022010900100057,2022년 1월 9일 09시,일요일,세종특별자치시 연동면,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 고가도로위,승용,여,46세,상해없음,,,,,0.0068
2022010900100238,2022년 1월 9일 18시,일요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,50세,상해없음,보행자,여,67세,중상,0.1168
2022011000100528,2022년 1월 10일 21시,월요일,세종특별자치시 어진동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,28세,중상,승합,남,56세,중상,0.2336
