도로,사망자수,중상자수,경상자수,부상자수,사고건수
현대자동차 세종청사지점 앞 교차로,0,7,17,0,19
신흥사거리(주공2단지앞),0,9,9,0,15
성남중학교 네거리(어진동 222-33),0,8,10,4,20
세종세경아파트 앞 사거리,1,6,10,1,16
세종특별자치시 세종시 보듬4로 20 도램마을8단지 앞 비알티도로,1,6,11,2,14
세종특별자치시 세종시 소담동 9-9 새샘교차로,0,7,11,0,14
현대아파트 부근 사거리(북쪽),0,8,7,0,11
다빛초등학교 삼거리 (종촌동 585-6 ),0,4,16,0,16
소담교차로,0,5,13,0,14
대평동 264-30번지 사거리,0,5,12,1,14
쌍국교 앞 사거리,1,4,10,0,8
가락마을6단지 602동 맞은편,0,5,12,0,9
연화휴먼시아 78단지 앞,0,4,12,0,11
세종플란트치과 앞 사거리,0,4,11,0,12
세종특별자치시 세종시 도담동 400 파란달교차로,0,6,6,0,10
번암사거리(번암리 161-1),0,4,12,0,9
세종특별자치시 세종시 한누리대로 499 성금교차로,0,3,11,0,13
세종특별자치시 세종시 한누리대로 219 국세청 앞 삼거리,0,5,7,0,9
욱일아파트 앞 사거리(113동),0,6,4,0,8
세종특별자치시 세종시 보람동 664-70 해들마을6단지 앞 사거리,0,2,14,0,12
새뜸마을 1011동 앞 로타리,0,4,8,1,10
학성공원 앞 삼거리,0,5,5,0,8
역천교차로(조치원역앞),0,4,7,0,10
지엘플렉스1 새샘6단지 후문 앞 교차로,0,4,8,0,8
상리사거리(조천교 서단),0,1,15,0,13
성남중 앞 사거리,0,4,7,0,9
다빛초등학교 삼거리 (종촌동 585-6 ),0,3,12,0,5
세종특별자치시 세종시 연기면 세종리 114-88 호수공원 교차로,0,4,7,0,7
세종플란트치과 앞 사거리,0,4,8,0,7
내평지하차도 사거리,0,3,12,0,6
